code,pop,temp,hatch,exp.date,grow.date,alive,rem.oysters,cal.length.start,cal.length.end,cal.length,wt,ran.out,bin,oce
4632,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,y,y,1.471,6.45,4.979,0.0244,0,3,a
4633,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,y,y,1.616,5.38,3.764,0.0149,0,3,a
4811,Georgia,26,7/30/2019,8/3/2019,8/27/2019,y,y,1.884,5.86,3.976,0.0201,0,1,a
4812,Georgia,26,7/30/2019,8/3/2019,8/27/2019,y,y,1.973,6.3,4.327,0.0258,0,1,a
4813,Georgia,26,7/30/2019,8/3/2019,8/27/2019,y,y,1.825,6.09,4.265,0.022,0,1,a
4821,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.375,5.05,3.675,0.014,0,2,a
4822,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.742,5.19,3.448,0.0137,0,2,a
4823,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.579,5.07,3.491,0.0153,0,2,a
4831,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.816,6.11,4.294,0.0239,0,3,a
4832,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.725,4.82,3.095,0.0126,0,3,a
4833,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.604,5.48,3.876,0.0195,0,3,a
5311,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,2.006,6.64,4.634,0.0266,0,1,a
5312,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.687,6.4,4.713,0.0249,1,1,a
5313,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.401,6.28,4.879,0.024,1,1,a
5321,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.286,6.01,4.724,0.0191,0,2,a
5322,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.569,6.6,5.031,0.0264,0,2,a
5323,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.344,6.09,4.746,0.0206,0,2,a
5331,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.683,6.73,5.047,0.0307,0,3,a
5332,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.376,7.09,5.714,0.0333,0,3,a
5333,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.843,7.07,5.227,0.031,1,3,a
5611,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.377,5.81,4.433,0.0184,0,1,a
5612,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.364,5.27,3.906,0.013,0,1,a
5613,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.558,6.1,4.542,0.0212,0,1,a
5621,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.443,5.87,4.427,0.02,0,2,a
5622,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.855,6.55,4.695,0.0268,1,2,a
5623,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.227,4.84,3.613,0.0113,0,2,a
5631,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.672,7,5.328,0.0323,0,3,a
5632,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.218,2.72,1.502,0.0019,0,3,a
5633,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.443,5.95,4.507,0.0201,0,3,a
5811,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.483,5.01,3.527,0.0135,0,1,a
5812,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.521,5.54,4.019,0.0211,0,1,a
5813,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,,4.54,4.54,0.0118,1,1,a
5821,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.814,5.73,3.916,0.0198,0,2,a
5822,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.692,4.81,3.118,0.0125,0,2,a
5823,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.695,5.26,3.565,0.0163,0,2,a
5831,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.645,5.6,3.955,0.0191,1,3,a
5832,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.63,5.78,4.15,0.0208,0,3,a
5833,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.767,5.9,4.133,0.0242,0,3,a
6311,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.259,5.96,4.701,0.0205,0,1,a
6312,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,n,,1.418,,,,0,1,a
6313,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.62,5.9,4.28,0.0208,0,1,a
6321,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.464,6.76,5.296,0.0284,0,2,a
6322,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.543,6.52,4.977,0.0258,0,2,a
6323,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.658,6.59,4.932,0.0259,0,2,a
6331,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,n,,1.393,,,,0,3,a
6332,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.556,5.93,4.374,0.0189,0,3,a
6333,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.492,6.25,4.758,0.0197,0,3,a
6611,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.884,6.1,4.216,0.0247,1,1,a
6612,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.241,5.5,4.259,0.0171,0,1,a
6613,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.606,5.9,4.294,0.0204,0,1,a
6621,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.368,5.1,3.732,0.0138,0,2,a
6622,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.353,5.9,4.547,0.0195,0,2,a
6623,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.452,5.9,4.448,0.0214,0,2,a
6631,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.693,5,3.307,0.0143,1,3,a
6632,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.643,5.7,4.057,0.0183,1,3,a
6633,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.553,5.5,3.947,0.018,0,3,a
6811,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.729,3.79,2.061,0.0072,0,1,a
6812,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.95,5.38,3.43,0.0179,0,1,a
6813,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.815,5.09,3.275,0.0159,0,1,a
6821,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.951,6.15,4.199,0.0229,0,2,a
6822,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.716,4.21,2.494,0.0081,0,2,a
6823,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.35,5.92,4.57,0.0185,0,2,a
6831,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.789,5.57,3.781,0.017,1,3,a
6832,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.424,5.4,3.976,0.0163,1,3,a
6833,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.733,4.37,2.637,0.0103,1,3,a
